2018-03-01 13:28:03.114937 UTC | [experiment_2018_03_01_13_28_00_0001] Populating workers...
2018-03-01 13:28:05.238206 UTC | [experiment_2018_03_01_13_28_00_0001] Populated
2018-03-01 13:28:07.181110 UTC | [experiment_2018_03_01_13_28_00_0001] epoch #0 | Training started
2018-03-01 13:28:07.395653 UTC | [experiment_2018_03_01_13_28_00_0001] epoch #0 | Training finished
2018-03-01 13:28:07.395880 UTC | [experiment_2018_03_01_13_28_00_0001] epoch #1 | Training started
2018-03-01 13:28:07.607511 UTC | [experiment_2018_03_01_13_28_00_0001] epoch #1 | Training finished
2018-03-01 13:28:07.607734 UTC | [experiment_2018_03_01_13_28_00_0001] epoch #2 | Training started
2018-03-01 13:28:07.814893 UTC | [experiment_2018_03_01_13_28_00_0001] epoch #2 | Training finished
2018-03-01 13:28:07.815107 UTC | [experiment_2018_03_01_13_28_00_0001] epoch #3 | Training started
2018-03-01 13:28:08.024140 UTC | [experiment_2018_03_01_13_28_00_0001] epoch #3 | Training finished
2018-03-01 13:28:08.024372 UTC | [experiment_2018_03_01_13_28_00_0001] epoch #4 | Training started
2018-03-01 13:28:08.232351 UTC | [experiment_2018_03_01_13_28_00_0001] epoch #4 | Training finished
2018-03-01 13:28:08.232602 UTC | [experiment_2018_03_01_13_28_00_0001] epoch #5 | Training started
2018-03-01 13:28:08.443958 UTC | [experiment_2018_03_01_13_28_00_0001] epoch #5 | Training finished
2018-03-01 13:28:08.444178 UTC | [experiment_2018_03_01_13_28_00_0001] epoch #6 | Training started
2018-03-01 13:28:08.654299 UTC | [experiment_2018_03_01_13_28_00_0001] epoch #6 | Training finished
2018-03-01 13:28:08.654552 UTC | [experiment_2018_03_01_13_28_00_0001] epoch #7 | Training started
2018-03-01 13:28:08.863734 UTC | [experiment_2018_03_01_13_28_00_0001] epoch #7 | Training finished
2018-03-01 13:28:08.863954 UTC | [experiment_2018_03_01_13_28_00_0001] epoch #8 | Training started
2018-03-01 13:28:09.074388 UTC | [experiment_2018_03_01_13_28_00_0001] epoch #8 | Training finished
2018-03-01 13:28:09.074627 UTC | [experiment_2018_03_01_13_28_00_0001] epoch #9 | Training started
2018-03-01 13:28:09.285035 UTC | [experiment_2018_03_01_13_28_00_0001] epoch #9 | Training finished
2018-03-01 13:28:09.285276 UTC | [experiment_2018_03_01_13_28_00_0001] epoch #10 | Training started
2018-03-01 13:28:45.457004 UTC | [experiment_2018_03_01_13_28_00_0001] epoch #10 | Training finished
2018-03-01 13:28:45.457239 UTC | [experiment_2018_03_01_13_28_00_0001] epoch #10 | Collecting samples for evaluation
2018-03-01 13:28:47.394528 UTC | -----------------------  ------------
2018-03-01 13:28:47.394822 UTC | Epoch                    10
2018-03-01 13:28:47.394926 UTC | AverageReturn             0
2018-03-01 13:28:47.395007 UTC | StdReturn                 0
2018-03-01 13:28:47.395088 UTC | MaxReturn                 0
2018-03-01 13:28:47.395582 UTC | MinReturn                 0
2018-03-01 13:28:47.395712 UTC | AverageEsReturn           0
2018-03-01 13:28:47.395797 UTC | StdEsReturn               0
2018-03-01 13:28:47.395888 UTC | MaxEsReturn               0
2018-03-01 13:28:47.395971 UTC | MinEsReturn               0
2018-03-01 13:28:47.396060 UTC | AverageDiscountedReturn   0
2018-03-01 13:28:47.396149 UTC | AverageQLoss              2.85602e-05
2018-03-01 13:28:47.396232 UTC | AveragePolicySurr         0.0401716
2018-03-01 13:28:47.396311 UTC | AverageQ                 -0.0404563
2018-03-01 13:28:47.396413 UTC | AverageAbsQ               0.0405436
2018-03-01 13:28:47.396772 UTC | AverageY                 -0.0404698
2018-03-01 13:28:47.396884 UTC | AverageAbsY               0.0404698
2018-03-01 13:28:47.396979 UTC | AverageAbsQYDiff          0.000936726
2018-03-01 13:28:47.397070 UTC | AverageAction             0.997718
2018-03-01 13:28:47.397192 UTC | PolicyRegParamNorm       26.4561
2018-03-01 13:28:47.397501 UTC | QFunRegParamNorm          7.99344
2018-03-01 13:28:47.397741 UTC | AverageForwardProgress    0
2018-03-01 13:28:47.397998 UTC | MaxForwardProgress        0
2018-03-01 13:28:47.398234 UTC | MinForwardProgress        0
2018-03-01 13:28:47.398469 UTC | StdForwardProgress        0
2018-03-01 13:28:47.398713 UTC | -----------------------  ------------
2018-03-01 13:28:47.399327 UTC | [experiment_2018_03_01_13_28_00_0001] epoch #11 | Training started
2018-03-01 13:29:24.103268 UTC | [experiment_2018_03_01_13_28_00_0001] epoch #11 | Training finished
2018-03-01 13:29:24.103507 UTC | [experiment_2018_03_01_13_28_00_0001] epoch #11 | Collecting samples for evaluation
2018-03-01 13:29:26.018539 UTC | -----------------------  ------------
2018-03-01 13:29:26.018825 UTC | Epoch                    11
2018-03-01 13:29:26.018937 UTC | AverageReturn             0
2018-03-01 13:29:26.019020 UTC | StdReturn                 0
2018-03-01 13:29:26.019102 UTC | MaxReturn                 0
2018-03-01 13:29:26.019186 UTC | MinReturn                 0
2018-03-01 13:29:26.019260 UTC | AverageEsReturn           0
2018-03-01 13:29:26.019330 UTC | StdEsReturn               0
2018-03-01 13:29:26.019433 UTC | MaxEsReturn               0
2018-03-01 13:29:26.019518 UTC | MinEsReturn               0
2018-03-01 13:29:26.019599 UTC | AverageDiscountedReturn   0
2018-03-01 13:29:26.019676 UTC | AverageQLoss              2.00365e-15
2018-03-01 13:29:26.019749 UTC | AveragePolicySurr         0.0397168
2018-03-01 13:29:26.019824 UTC | AverageQ                 -0.0397172
